Fecha,PCR informados nuevos,Media móvil semanal de PCR informados nuevos
2021-08-21,1239.0,1460.5714285714287
2021-08-22,1407.0,1472.857142857143
2021-08-23,2537.0,1530.5714285714287
2021-08-24,1020.0,1474.4285714285713
2021-08-25,716.0,1512.7142857142858
2021-08-26,2444.0,1503.4285714285713
2021-08-27,1138.0,1500.142857142857
2021-08-28,1197.0,1494.142857142857
2021-08-29,1511.0,1509.0
2021-08-30,2972.0,1571.142857142857
2021-08-31,1194.0,1596.0
2021-09-01,1525.0,1711.5714285714287
2021-09-02,1731.0,1609.7142857142858
2021-09-03,1240.0,1624.2857142857142
2021-09-04,1308.0,1640.142857142857
2021-09-05,1706.0,1668.0
2021-09-06,3109.0,1687.5714285714287
2021-09-07,1710.0,1761.2857142857142
2021-09-08,1038.0,1691.7142857142858
2021-09-09,2087.0,1742.5714285714287
2021-09-10,1272.0,1747.142857142857
2021-09-11,1237.0,1737.0
2021-09-12,1365.0,1688.2857142857142
2021-09-13,2404.0,1587.5714285714287
2021-09-14,1396.0,1542.7142857142858
2021-09-15,1002.0,1537.5714285714287
2021-09-16,1458.0,1447.7142857142858
2021-09-17,1348.0,1458.5714285714287
2021-09-18,1273.0,1463.7142857142858
2021-09-19,1109.0,1427.142857142857
2021-09-20,1547.0,1304.7142857142858
2021-09-21,622.0,1194.142857142857
2021-09-22,1046.0,1200.4285714285713
2021-09-23,1225.0,1167.142857142857
2021-09-24,1366.0,1169.7142857142858
2021-09-25,1368.0,1183.2857142857142
2021-09-26,1949.0,1303.2857142857142
2021-09-27,3110.0,1526.5714285714287
2021-09-28,1518.0,1654.5714285714287
2021-09-29,1812.0,1764.0
2021-09-30,2022.0,1877.857142857143
2021-10-01,1654.0,1919.0
2021-10-02,1333.0,1914.0
2021-10-03,1490.0,1848.4285714285713
2021-10-04,2046.0,1696.4285714285713
2021-10-05,1765.0,1731.7142857142858
2021-10-06,1164.0,1639.142857142857
2021-10-07,2450.0,1700.2857142857142
2021-10-08,1201.0,1635.5714285714287
2021-10-09,1063.0,1597.0
2021-10-10,1503.0,1598.857142857143
2021-10-11,2170.0,1616.5714285714287
2021-10-12,1266.0,1545.2857142857142
2021-10-13,1345.0,1571.142857142857
2021-10-14,1666.0,1459.142857142857
2021-10-15,1400.0,1487.5714285714287
2021-10-16,1467.0,1545.2857142857142
2021-10-17,1512.0,1546.5714285714287
2021-10-18,2205.0,1551.5714285714287
2021-10-19,1694.0,1612.7142857142858
2021-10-20,1969.0,1701.857142857143
2021-10-21,2011.0,1751.142857142857
2021-10-22,1478.0,1762.2857142857142
2021-10-23,1039.0,1701.142857142857
2021-10-24,1389.0,1683.5714285714287
2021-10-25,1944.0,1646.2857142857142
2021-10-26,1966.0,1685.142857142857
2021-10-27,1846.0,1667.5714285714287
2021-10-28,2021.0,1669.0
2021-10-29,1436.0,1663.0
2021-10-30,988.0,1655.7142857142858
2021-10-31,1503.0,1672.0
2021-11-01,2222.0,1711.7142857142858
2021-11-02,1842.0,1694.0
2021-11-03,1182.0,1599.142857142857
2021-11-04,1655.0,1546.857142857143
2021-11-05,2051.0,1634.7142857142858
2021-11-06,1346.0,1685.857142857143
2021-11-07,1563.0,1694.4285714285713
2021-11-08,2417.0,1722.2857142857142
2021-11-09,1060.0,1610.5714285714287
